numar_factura,data
2410005034,1/30/2024
2410005037,1/30/2024
2410005039,1/30/2024
2410005041,1/30/2024
2410005044,1/30/2024
2410005047,1/30/2024
2410005049,1/30/2024
2410005057,1/30/2024
2410005058,1/30/2024
2410005061,1/30/2024
2410005066,1/30/2024
2410005089,1/30/2024
2410005094,1/30/2024
2410005097,1/30/2024
2410005103,1/30/2024
2410005104,1/30/2024
2410005107,1/30/2024
2410005111,1/30/2024
2410005113,1/30/2024
2410005114,1/30/2024
2410005127,1/31/2024
2410005128,1/31/2024
2410005129,1/31/2024
2410005131,1/31/2024
2410005141,1/31/2024
2410005168,1/31/2024
2410005170,1/31/2024
2410005174,1/31/2024
2410005193,1/31/2024
2410005195,1/31/2024
2410005196,1/31/2024
2410005197,1/31/2024
2410005199,1/31/2024
2410005204,1/31/2024
2410005207,1/31/2024
2410005210,1/31/2024
2410005218,1/31/2024
2410005237,1/31/2024
2410005239,1/31/2024
2410005252,1/31/2024
2410005256,1/31/2024
2410005258,1/31/2024
2410005263,1/31/2024
2410005266,1/31/2024
2410005272,1/31/2024
2410005273,1/31/2024
2410005275,1/31/2024
2410005277,1/31/2024
2410005292,1/31/2024
2410005296,1/31/2024
2410005298,1/31/2024
2410005302,1/31/2024
2410005306,1/31/2024
2410005307,1/31/2024
2410005308,1/31/2024
2410005310,1/31/2024
2410005316,1/31/2024
2410005317,1/31/2024
2410005324,1/31/2024
2410005325,1/31/2024
2410005326,1/31/2024
2410005334,1/31/2024
2410005335,1/31/2024
2410005338,1/31/2024
2410005340,1/31/2024
2410005358,1/31/2024
2410005363,1/31/2024
2410005365,1/31/2024
2410005366,1/31/2024
2410005369,1/31/2024
2410005375,1/31/2024
2410005376,1/31/2024
2410005377,1/31/2024
2410005378,1/31/2024
2410005384,1/31/2024
2410005402,1/31/2024
2410005403,1/31/2024
2410005407,1/31/2024
2410005408,1/31/2024
2410005429,1/31/2024
2410005434,1/31/2024
2410005441,1/31/2024
2410005462,1/31/2024
2410005465,1/31/2024
